SMILES,Sigma
O=C(O)c1cccc(B(F)F)c1,0.32
O=C(O)c1cccc(Br)c1,0.39
O=C(O)c1cccc([Ge](Br)(Br)Br)c1,0.66
O=C(O)c1cccc([Si](Br)(Br)Br)c1,0.48
O=C(O)c1cccc(Cl)c1,0.37
O=C(O)c1cccc([Hg]Cl)c1,0.33
O=C(O)c1cccc(S(=O)(=O)Cl)c1,1.2
O=C(O)c1cccc(SCl)c1,0.44
O=C(O)c1cccc(I(Cl)Cl)c1,1.1
O=C(O)c1cccc(P(=O)(Cl)Cl)c1,0.78
O=C(O)c1cccc(P(Cl)Cl)c1,0.54
O=C(O)c1cccc(P(=S)(Cl)Cl)c1,0.7
O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1,0.71
O=C(O)c1cccc([Si](Cl)(Cl)Cl)c1,0.48
O=C(O)c1cccc(F)c1,0.34
O=C(O)c1cccc([Hg]F)c1,0.34
O=C(O)c1cccc(S(=O)F)c1,0.74
O=C(O)c1cccc(S(=O)(=O)F)c1,0.8
O=C(O)c1cccc(I(F)F)c1,0.85
O=C(O)c1cccc(P(=O)(F)F)c1,0.81
O=C(O)c1cccc(P(F)F)c1,0.49
O=C(O)c1cccc([Ge](F)(F)F)c1,0.85
O=C(O)c1cccc(S(F)(F)F)c1,0.7
O=C(O)c1cccc([Si](F)(F)F)c1,0.54
O=C(O)c1cccc(I(F)(F)(F)F)c1,1.07
O=C(O)c1cccc(P(F)(F)(F)F)c1,0.63
O=C(O)c1cccc(S(F)(F)(F)(F)F)c1,0.61
O=C(O)c1cccc(I)c1,0.35
O=Ic1cccc(C(=O)O)c1,0.58
O=C(O)c1cccc(I(=O)=O)c1,0.68
O=Nc1cccc(C(=O)O)c1,0.62
O=C(O)c1cccc([N+](=O)[O-])c1,0.71
O=C(O)c1cccc(O[N+](=O)[O-])c1,0.55
N#[N+]c1cccc(C(=O)O)c1,1.76
O=C(O)c1cccc(N=[N+]([O-])[O-])c1,0.0
[N-]=[N+]=Nc1cccc(C(=O)O)c1,0.37
O=C(O)c1cccc([O-])c1,-0.47
O=C(O)c1cccc(S(=O)[O-])c1,-0.02
O=C(O)c1cccc(S(=O)(=O)[O-])c1,0.3
O=C(O)c1cccc([S-])c1,-0.36
O=C(O)c1cccc([As](=O)([O-])O)c1,0.0
O=C(O)c1ccccc1,0.0
O=C(O)c1cccc(N[N+](=O)[O-])c1,0.91
O=C(O)c1cccc(O)c1,0.12
O=C(O)c1cccc(S(=O)O)c1,-0.04
O=C(O)c1cccc(P(=O)([O-])O)c1,0.2
O=C(O)c1cccc(OP(=O)([O-])O)c1,0.29
O=C(O)c1cccc(S)c1,0.25
O=C(O)c1cccc(B(O)O)c1,-0.01
Nc1cccc(C(=O)O)c1,-0.16
O=C(O)c1cccc(NO)c1,-0.04
NS(=O)(=O)c1cccc(C(=O)O)c1,0.53
O=C(O)c1cccc(P(=O)(O)O)c1,0.36
O=C(O)c1cccc(P)c1,0.06
O=C(O)c1cccc([B-](O)(O)O)c1,-0.48
O=C(O)c1cccc([GeH3])c1,0.0
[NH3+]c1cccc(C(=O)O)c1,0.86
NNc1cccc(C(=O)O)c1,-0.02
O=C(O)c1cccc([SiH3])c1,0.05
O=C(O)c1cccc(C(Br)(Br)Br)c1,0.28
O=C(O)c1cccc(C(F)(F)Cl)c1,0.42
O=C(O)c1cccc(-n2nnnc2Cl)c1,0.6
O=C(O)c1cccc(C(=O)Cl)c1,0.51
O=C(O)c1cccc(N=C(Cl)Cl)c1,0.21
O=C(O)c1cccc(C(Cl)(Cl)Cl)c1,0.4
O=C(O)c1cccc(OC(Cl)(Cl)Cl)c1,0.43
O=C(O)c1cccc(C(=O)F)c1,0.55
O=C(O)c1ccc2c(c1)OC(F)(F)O2,0.36
O=C(O)c1cccc(C(F)(F)F)c1,0.43
O=C(O)c1cccc([Hg]C(F)(F)F)c1,0.29
O=C(O)c1cccc([Hg]SC(F)(F)F)c1,0.39
O=C(O)c1cccc(/I=N/S(=O)(=O)C(F)(F)F)c1,1.3
O=C(O)c1cccc(/N=N/C(F)(F)F)c1,0.56
O=C(O)c1cccc(OC(F)(F)F)c1,0.38
O=C(O)c1cccc(S(=O)C(F)(F)F)c1,0.63
O=C(O)c1cccc([Se](=O)C(F)(F)F)c1,0.81
O=C(O)c1cccc(S(=O)(=O)C(F)(F)F)c1,0.83
O=C(O)c1cccc([Se](=O)(=O)C(F)(F)F)c1,1.08
O=C(O)c1cccc(OS(=O)(=O)C(F)(F)F)c1,0.56
O=C(O)c1cccc(SC(F)(F)F)c1,0.4
O=C(O)c1cccc([Se]C(F)(F)F)c1,0.44
N#C[Hg]c1cccc(C(=O)O)c1,0.28
N#Cc1cccc(C(=O)O)c1,0.56
[C-]#[N+]c1cccc(C(=O)O)c1,0.48
O=C=Nc1cccc(C(=O)O)c1,0.27
N#COc1cccc(C(=O)O)c1,0.67
N#CS(=O)(=O)c1cccc(C(=O)O)c1,1.1
O=C(O)c1cccc(N=C=S)c1,0.48
N#CSc1cccc(C(=O)O)c1,0.51
N#C[Se]c1cccc(C(=O)O)c1,0.61
N#CN=Nc1cccc(C(=O)O)c1,0.71
N#C/N=[N+](/[O-])c1cccc(C(=O)O)c1,0.78
O=C(O)c1cccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,0.72
[N-]=[N+]=Nc1nnnn1-c1cccc(C(=O)O)c1,0.54
O=C([O-])c1cccc(C(=O)O)c1,-0.1
O=C(O)c1cccc(C(Br)Br)c1,0.31
O=C(O)c1cccc(C(Cl)Cl)c1,0.31
O=C(O)c1cccc(OC(Cl)Cl)c1,0.38
O=C(O)c1cccc(C(F)F)c1,0.29
O=C(O)c1cccc(OC(F)F)c1,0.31
O=C(O)c1cccc(S(=O)C(F)F)c1,0.54
O=C(O)c1cccc(S(=O)(=O)C(F)F)c1,0.75
O=C(O)c1cccc(SC(F)F)c1,0.33
N=S(=O)(c1cccc(C(=O)O)c1)C(F)(F)F,0.72
O=C(O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,0.44
O=C(O)c1cccc(C(I)I)c1,0.26
N#CNc1cccc(C(=O)O)c1,0.21
O=C(O)c1cccc(-n2cnnn2)c1,0.52
O=C(O)c1cccc(-c2nnn[nH]2)c1,0.64
O=C(O)c1cccc(-n2nnnc2O)c1,0.39
O=C(O)c1cccc(-n2nnnc2S)c1,0.45
O=C(O)c1cccc(Nc2nnns2)c1,0.3
O=Cc1cccc(C(=O)O)c1,0.35
O=C(O)c1cccc(C(=O)O)c1,0.37
O=C(O)c1cccc(CBr)c1,0.12
O=C(O)c1cccc(CCl)c1,0.11
O=C(O)c1cccc(OCCl)c1,0.25
O=C(O)c1cccc(CF)c1,0.12
O=C(O)c1cccc(OCF)c1,0.2
O=C(O)c1cccc(SCF)c1,0.23
O=C(O)c1cccc(CI)c1,0.1
O=CNc1cccc(C(=O)O)c1,0.19
NC(=O)c1cccc(C(=O)O)c1,0.28
NC(=S)c1cccc(C(=O)O)c1,0.25
O=C(O)c1cccc(/C=N/O)c1,0.22
O=C(O)c1ccc2[nH]cnc2c1,-0.15
NC(=O)N=[N+]([O-])c1cccc(C(=O)O)c1,0.59
O=C(O)c1ccc2c(c1)OCO2,-0.16
Cc1cccc(C(=O)O)c1,-0.07
C[Si](Cl)(Cl)c1cccc(C(=O)O)c1,0.31
C[Si](F)(F)c1cccc(C(=O)O)c1,0.29
C[Hg]c1cccc(C(=O)O)c1,0.43
O=C(O)c1cccc(NCS(=O)(=O)[O-])c1,-0.1
NC(=O)Nc1cccc(C(=O)O)c1,-0.03
CN(c1cccc(C(=O)O)c1)[N+](=O)[O-],0.49
NC(=S)Nc1cccc(C(=O)O)c1,0.22
COc1cccc(C(=O)O)c1,0.12
O=C(O)c1cccc(CO)c1,0.0
CS(=O)c1cccc(C(=O)O)c1,0.52
COSc1cccc(C(=O)O)c1,0.21
CS(=O)Oc1cccc(C(=O)O)c1,0.44
COS(=O)c1cccc(C(=O)O)c1,0.5
CS(=O)(=O)c1cccc(C(=O)O)c1,0.6
CS(=O)(=O)Sc1cccc(C(=O)O)c1,0.43
CS(=O)(=O)Oc1cccc(C(=O)O)c1,0.39
CSc1cccc(C(=O)O)c1,0.15
CSSc1cccc(C(=O)O)c1,0.22
C[Se]c1cccc(C(=O)O)c1,0.1
CNc1cccc(C(=O)O)c1,-0.21
NCc1cccc(C(=O)O)c1,-0.03
CS(=O)(=O)Nc1cccc(C(=O)O)c1,0.2
[NH3+]Cc1cccc(C(=O)O)c1,0.59
O=C(O)c1cccc(N(C(=O)F)C(=O)F)c1,0.58
O=C(O)c1cccc([Hg]OC(=O)C(F)(F)F)c1,0.5
O=C(O)c1cccc(C(=O)C(F)(F)F)c1,0.63
O=C(O)c1cccc(SC(=O)C(F)(F)F)c1,0.48
O=C(O)c1cccc(OC(=O)C(F)(F)F)c1,0.56
O=C(O)c1cccc(N(C(=O)F)C(F)(F)F)c1,0.5
O=C(O)c1ccc2c(c1)C(F)(F)OC2(F)F,0.81
O=C(O)c1cccc(C(F)(F)C(F)(F)F)c1,0.47
O=C(O)c1cccc(OC(F)(F)C(F)(F)F)c1,0.48
O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)F)c1,0.92
O=C(O)c1cccc(SC(F)(F)C(F)(F)F)c1,0.44
O=C(O)c1cccc(N(C(F)(F)F)C(F)(F)F)c1,0.4
O=C(O)c1cccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.18
O=C(O)c1cccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.23
O=C(O)c1cccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)c1,0.61
O=C(O)c1cccc(P(C(F)(F)F)C(F)(F)F)c1,0.6
N#CP(C#N)c1cccc(C(=O)O)c1,0.82
C#Cc1cccc(C(=O)O)c1,0.21
O=C(O)c1cccc(OC(F)(F)C(F)Cl)c1,0.35
O=C(O)c1cccc(NC(=O)C(F)(F)F)c1,0.3
O=C(O)c1cccc(/C=N/S(=O)(=O)C(F)(F)F)c1,0.76
O=C(O)c1cccc(OC(F)(F)C(F)F)c1,0.34
O=C(O)c1cccc(SC(F)(F)C(F)F)c1,0.38
O=C(O)c1cccc(-n2nnnc2SS2=NN=NN2)c1,0.63
C#CSc1cccc(C(=O)O)c1,0.26
O=C(O)c1cccc(S/C=C/Cl)c1,0.31
O=C(O)c1cccc([Se]/C=C/Cl)c1,0.28
O=C(O)c1cccc(CC(F)(F)F)c1,0.12
O=C(O)c1cccc(CS(=O)C(F)(F)F)c1,0.25
O=C(O)c1cccc(CS(=O)(=O)C(F)(F)F)c1,0.29
O=C(O)c1cccc(CSC(F)(F)F)c1,0.12
N#CCc1cccc(C(=O)O)c1,0.16
O=C(O)c1cccc(C=C[N+](=O)[O-])c1,0.32
O=C([O-])Cc1cccc(C(=O)O)c1,0.07
N#CSCc1cccc(C(=O)O)c1,0.12
C=Cc1cccc(C(=O)O)c1,0.06
O=C(CCl)Nc1cccc(C(=O)O)c1,0.17
CN(c1cccc(C(=O)O)c1)S(=O)(=O)C(F)(F)F,0.46
CC(=O)O[Hg]c1cccc(C(=O)O)c1,0.39
CC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-],0.54
O=C(O)c1cccc(C2CO2)c1,0.05
C=COc1cccc(C(=O)O)c1,0.21
CC(=O)c1cccc(C(=O)O)c1,0.38
CC(=O)Sc1cccc(C(=O)O)c1,0.39
CC(=O)Oc1cccc(C(=O)O)c1,0.39
COC(=O)c1cccc(C(=O)O)c1,0.37
O=C(O)c1cccc(C2CS2)c1,0.04
C=CSc1cccc(C(=O)O)c1,0.26
C=C[Se]c1cccc(C(=O)O)c1,0.26
O=C(O)c1cccc(N2CC2)c1,-0.07
O=C(O)c1cccc(C2CN2)c1,-0.06
CN1OC1c1cccc(C(=O)O)c1,0.09
COC(=O)Nc1cccc(C(=O)O)c1,-0.02
CC(=O)Nc1cccc(C(=O)O)c1,0.21
CNC(=O)c1cccc(C(=O)O)c1,0.35
CO/N=C/c1cccc(C(=O)O)c1,0.37
NC(=O)Cc1cccc(C(=O)O)c1,0.06
CC(=S)Nc1cccc(C(=O)O)c1,0.24
CNC(=S)c1cccc(C(=O)O)c1,0.3
NC(=S)N/N=C/c1cccc(C(=O)O)c1,0.45
O=C(O)c1cccc(OCC[O-])c1,-0.12
CCc1cccc(C(=O)O)c1,-0.07
NNC(=O)N/N=C/c1cccc(C(=O)O)c1,0.22
CCOc1cccc(C(=O)O)c1,0.1
CC(O)c1cccc(C(=O)O)c1,0.08
COCc1cccc(C(=O)O)c1,0.08
CCS(=O)(=O)c1cccc(C(=O)O)c1,0.66
CCSc1cccc(C(=O)O)c1,0.18
CN(C)P(Cl)c1cccc(C(=O)O)c1,0.38
N[C+](N)SCc1cccc(C(=O)O)c1,0.13
C[Si](C)(Cl)c1cccc(C(=O)O)c1,0.16
C[Si](C)(F)c1cccc(C(=O)O)c1,0.12
CCNc1cccc(C(=O)O)c1,-0.24
CN(C)c1cccc(C(=O)O)c1,-0.16
CN(c1cccc(C(=O)O)c1)S(C)(=O)=O,0.21
CN(C)S(=O)(=O)c1cccc(C(=O)O)c1,0.51
CS(=O)(=O)N(c1cccc(C(=O)O)c1)S(C)(=O)=O,0.47
CN(C)Sc1cccc(C(=O)O)c1,0.12
CN(C)/N=N\c1cccc(C(=O)O)c1,-0.05
Cn1c2ccc(C(=O)O)cc2n[n+]1C,1.17
CP(C)(=O)c1cccc(C(=O)O)c1,0.43
COP(=O)(OC)c1cccc(C(=O)O)c1,0.42
CP(C)c1cccc(C(=O)O)c1,0.03
C[S+](C)c1cccc(C(=O)O)c1,1.0
Cc1ccc(S(=O)(=O)S(C)(C)c2cccc(C(=O)O)c2)cc1,1.06
[NH3+]CCc1cccc(C(=O)O)c1,0.23
C[SiH](C)c1cccc(C(=O)O)c1,0.01
O=C(O)c1cccc(C#CC(F)(F)F)c1,0.41
O=C(O)c1cccc(/C(F)=C(\F)C(F)(F)F)c1,0.39
O=C(O)c1cccc(N=C(C(F)(F)F)C(F)(F)F)c1,0.29
O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1,0.44
O=C(O)c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1,0.37
O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,0.92
O=C(O)c1cccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)c1,0.92
O=C(O)c1cccc(SC(F)(F)C(F)(F)C(F)(F)F)c1,0.45
O=C(O)c1cccc(SC(F)(C(F)(F)F)C(F)(F)F)c1,0.48
O=C(O)c1cccc([Te]C(F)(F)C(F)(F)C(F)(F)F)c1,0.46
O=C(O)c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1,0.29
O=C(O)c1cccc(C(SC(F)(F)F)SC(F)(F)F)c1,0.44
N#CC(C#N)c1cccc(C(=O)O)c1,0.53
O=C(O)c1cccc(/C=C\C(F)(F)F)c1,0.16
O=C(O)c1cccc(/C=C/C(F)(F)F)c1,0.24
O=C(O)c1cccc(/C=C/S(=O)(=O)C(F)(F)F)c1,0.31
N#C/C=C/c1cccc(C(=O)O)c1,0.24
CC#Cc1cccc(C(=O)O)c1,0.21
CN(C(=O)C(F)(F)F)c1cccc(C(=O)O)c1,0.41
O=C/C=C/c1cccc(C(=O)O)c1,0.24
O=C(O)c1cccc(C2CC2)c1,-0.07
C=C(C)c1cccc(C(=O)O)c1,0.09
C/C=C/c1cccc(C(=O)O)c1,0.02
C=CCc1cccc(C(=O)O)c1,-0.11
CCC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-],0.56
C=CCOc1cccc(C(=O)O)c1,0.09
CCC(=O)c1cccc(C(=O)O)c1,0.38
CCOC(=O)c1cccc(C(=O)O)c1,0.37
CC(=O)OCc1cccc(C(=O)O)c1,0.04
O=C(O)CCc1cccc(C(=O)O)c1,-0.03
C=CCSc1cccc(C(=O)O)c1,0.19
C=CC[Se]c1cccc(C(=O)O)c1,0.21
O=C(O)c1ccc2c(c1)CCC2,-0.26
CC(=O)N(C)c1cccc(C(=O)O)c1,0.31
CC(=O)NCc1cccc(C(=O)O)c1,0.05
CCOC(=O)Nc1cccc(C(=O)O)c1,0.11
CC(C)(c1cccc(C(=O)O)c1)[N+](=O)[O-],0.18
O=C(O)c1ccc2c(c1)OCCCO2,0.0
CC(C)c1cccc(C(=O)O)c1,-0.04
CCCc1cccc(C(=O)O)c1,-0.06
Cn1c[n+](C)c2cc(C(=O)O)ccc21,1.11
CCNC(=O)Nc1cccc(C(=O)O)c1,0.04
CCNC(=S)Nc1cccc(C(=O)O)c1,0.3
CC(C)Oc1cccc(C(=O)O)c1,0.1
CCCOc1cccc(C(=O)O)c1,0.1
CC(O)Cc1cccc(C(=O)O)c1,-0.12
CC(C)(OO)c1cccc(C(=O)O)c1,0.06
CC(C)Sc1cccc(C(=O)O)c1,0.23
CN(C)Cc1cccc(C(=O)O)c1,0.0
C[Ge](C)(C)c1cccc(C(=O)O)c1,0.0
C[N+](C)(C)c1cccc(C(=O)O)c1,0.88
C[NH+](C)Cc1cccc(C(=O)O)c1,0.4
CO[Si](C)(C)c1cccc(C(=O)O)c1,0.04
C[Si](C)(C)Oc1cccc(C(=O)O)c1,0.13
CO[Si](C)(OC)c1cccc(C(=O)O)c1,0.04
CO[Si](OC)(OC)c1cccc(C(=O)O)c1,0.09
C[P+](C)(C)c1cccc(C(=O)O)c1,0.74
C[Si](C)(C)c1cccc(C(=O)O)c1,-0.04
C[Sn](C)(C)c1cccc(C(=O)O)c1,0.0
O=C(O)c1cccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)c1,1.28
O=C(O)c1cccc(C2(F)C(F)(F)C(F)(F)C2(F)F)c1,0.48
O=C(O)c1cccc(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,0.63
O=C(O)c1cccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.55
O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.47
O=C(O)c1cccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.96
O=C(O)c1cccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.51
O=C(O)c1cccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)c1,0.51
O=C(O)c1cccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.49
N#CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.97
O=C(O)c1cccc(C2(O)C(F)(F)C(F)(F)C2(F)F)c1,0.36
N#CC(C#N)=Cc1cccc(C(=O)O)c1,0.66
O=C(O)c1cccc(-c2ccc(Br)o2)c1,0.15
O=C(O)c1cccc(N2C(=O)C=CC2=O)c1,0.33
O=C(O)c1cccc(N2C(=O)CC(Cl)C2=O)c1,0.47
O=C(O)c1cccc(-c2cccnn2)c1,0.28
O=C(O)c1ccc2ccccc2c1,0.04
CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.6
O=C(O)c1cccc(-c2ccncn2)c1,0.3
O=C(O)c1cccc(-c2ncccn2)c1,0.23
O=C(O)c1cccc(-c2cncnc2)c1,0.28
O=C(O)c1cccc(-c2ccco2)c1,0.06
O=C(O)c1cccc(-c2cccs2)c1,0.09
O=C(O)c1cccc(-c2ccsc2)c1,0.03
O=C(O)c1cccc(-c2ccc[se]2)c1,0.06
O=C(O)c1cccc(-c2ccc[te]2)c1,0.06
O=C(O)c1cccc(-n2cccc2)c1,0.47
O=C(O)c1cccc(N2C(=O)CCC2=O)c1,0.34
CC(=O)/C=C/c1cccc(C(=O)O)c1,0.21
CC(=O)N(C(C)=O)c1cccc(C(=O)O)c1,0.35
O=C(O)c1cccc(C2CCC2)c1,-0.05
CC(C)C(=O)c1cccc(C(=O)O)c1,0.38
O=C(O)c1ccc2c(c1)CCCC2,-0.48
CC(C)C(=O)Nc1cccc(C(=O)O)c1,0.11
CC(C)(C)c1cccc(C(=O)O)c1,-0.1
CCC(C)c1cccc(C(=O)O)c1,-0.08
CC(C)Cc1cccc(C(=O)O)c1,-0.07
CCCCc1cccc(C(=O)O)c1,-0.08
CCCCOc1cccc(C(=O)O)c1,0.1
CC(C)(O)Cc1cccc(C(=O)O)c1,-0.16
COC(OC)(OC)c1cccc(C(=O)O)c1,-0.03
CC[As](CC)c1cccc(C(=O)O)c1,0.22
CC[As](=O)(CC)c1cccc(C(=O)O)c1,0.57
CC[As](=S)(CC)c1cccc(C(=O)O)c1,0.52
CCCCNc1cccc(C(=O)O)c1,-0.34
CCN(CC)c1cccc(C(=O)O)c1,-0.23
CCP(=O)(CC)c1cccc(C(=O)O)c1,0.37
CCOP(=O)(/N=N\c1cccc(C(=O)O)c1)OCC,0.16
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,0.55
CCP(CC)c1cccc(C(=O)O)c1,0.1
CCP(=S)(CC)c1cccc(C(=O)O)c1,0.39
C[N+](C)(C)Cc1cccc(C(=O)O)c1,0.4
C[NH+](C)CCc1cccc(C(=O)O)c1,0.24
C[Si](C)(C)OCc1cccc(C(=O)O)c1,-0.04
