SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
O=C(O)c1cccc(B(F)F)c1,0.32,-0.183,-0.489,-0.28817,-0.08233
O=C(O)c1cccc(Br)c1,0.39,-0.162,-0.13,-0.26324,-0.07616
O=C(O)c1cccc([Ge](Br)(Br)Br)c1,0.66,-0.169,-0.515,-0.29236,-0.09336
O=C(O)c1cccc([Si](Br)(Br)Br)c1,0.48,-0.173,-0.577,-0.28562,-0.08182
O=C(O)c1cccc(Cl)c1,0.37,-0.162,-0.059,-0.26772,-0.07613
O=C(O)c1cccc([Hg]Cl)c1,0.33,-0.167,-0.419,-0.27979,-0.07527
O=C(O)c1cccc(S(=O)(=O)Cl)c1,1.2,-0.163,-0.317,-0.3077,-0.10901
O=C(O)c1cccc(SCl)c1,0.44,-0.175,-0.24,-0.25831,-0.11286
O=C(O)c1cccc(I(Cl)Cl)c1,1.1,-0.154,-0.236,-0.2878,-0.15229
O=C(O)c1cccc(P(=O)(Cl)Cl)c1,0.78,-0.169,-0.466,-0.30117,-0.09033
O=C(O)c1cccc(P(Cl)Cl)c1,0.54,-0.174,-0.425,-0.28374,-0.09287
O=C(O)c1cccc(P(=S)(Cl)Cl)c1,0.7,-0.169,-0.437,-0.27307,-0.09516
O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1,0.71,-0.169,-0.513,-0.29842,-0.08787
O=C(O)c1cccc([Si](Cl)(Cl)Cl)c1,0.48,-0.164,-0.599,-0.29612,-0.08562
O=C(O)c1cccc(F)c1,0.34,-0.159,0.406,-0.27238,-0.07512
O=C(O)c1cccc([Hg]F)c1,0.34,-0.169,-0.441,-0.27758,-0.0695
O=C(O)c1cccc(S(=O)F)c1,0.74,-0.169,-0.309,-0.29011,-0.0938
O=C(O)c1cccc(S(=O)(=O)F)c1,0.8,-0.164,-0.34,-0.30818,-0.09811
O=C(O)c1cccc(I(F)F)c1,0.85,-0.156,-0.26,-0.27619,-0.07835
O=C(O)c1cccc(P(=O)(F)F)c1,0.81,-0.17,-0.51,-0.30257,-0.09394
O=C(O)c1cccc(P(F)F)c1,0.49,-0.177,-0.475,-0.29176,-0.08785
O=C(O)c1cccc([Ge](F)(F)F)c1,0.85,-0.168,-0.562,-0.30654,-0.09419
O=C(O)c1cccc(S(F)(F)F)c1,0.7,-0.169,-0.294,-0.30252,-0.10269
O=C(O)c1cccc([Si](F)(F)F)c1,0.54,-0.175,-0.625,-0.29329,-0.08432
O=C(O)c1cccc(I(F)(F)(F)F)c1,1.07,-0.157,-0.343,-0.29882,-0.11081
O=C(O)c1cccc(P(F)(F)(F)F)c1,0.63,-0.176,-0.507,-0.30173,-0.09353
O=C(O)c1cccc(S(F)(F)(F)(F)F)c1,0.61,-0.163,-0.243,-0.30223,-0.0941
O=C(O)c1cccc(I)c1,0.35,-0.162,-0.227,-0.25093,-0.06861
O=Ic1cccc(C(=O)O)c1,0.58,-0.164,-0.254,-0.22323,-0.08778
O=C(O)c1cccc(I(=O)=O)c1,0.68,-0.158,-0.328,-0.26085,-0.09823
O=Nc1cccc(C(=O)O)c1,0.62,-0.173,0.017,-0.24325,-0.1239
O=C(O)c1cccc([N+](=O)[O-])c1,0.71,-0.168,0.057,-0.30215,-0.11554
O=C(O)c1cccc(O[N+](=O)[O-])c1,0.55,-0.166,0.244,-0.28803,-0.09413
N#[N+]c1cccc(C(=O)O)c1,1.76,-0.138,0.003,-0.43974,-0.30462
O=C(O)c1cccc(N=[N+]([O-])[O-])c1,0.0,-0.192,0.122,-0.07335,0.05478
[N-]=[N+]=Nc1cccc(C(=O)O)c1,0.37,-0.169,0.106,-0.24966,-0.07503
O=C(O)c1cccc([O-])c1,-0.47,-0.202,0.362,-0.02902,0.08561
O=C(O)c1cccc(S(=O)[O-])c1,-0.02,-0.198,-0.262,-0.05673,0.0438
O=C(O)c1cccc(S(=O)(=O)[O-])c1,0.3,-0.199,-0.291,-0.09572,0.03795
O=C(O)c1cccc([S-])c1,-0.36,-0.202,-0.192,-0.02891,0.0684
O=C(O)c1cccc([As](=O)([O-])O)c1,0.0,-0.198,-0.397,-0.09747,0.03545
O=C(O)c1ccccc1,0.0,-0.178,-0.225,-0.27231,-0.06552
O=C(O)c1cccc(N[N+](=O)[O-])c1,0.91,-0.163,0.109,-0.27064,-0.08591
O=C(O)c1cccc(O)c1,0.12,-0.158,0.305,-0.24634,-0.06569
O=C(O)c1cccc(S(=O)O)c1,-0.04,-0.171,-0.289,-0.26875,-0.08054
O=C(O)c1cccc(P(=O)([O-])O)c1,0.2,-0.204,-0.416,-0.10367,0.04351
O=C(O)c1cccc(OP(=O)([O-])O)c1,0.29,-0.189,0.336,-0.11426,0.03764
O=C(O)c1cccc(S)c1,0.25,-0.137,-0.201,-0.24538,-0.1404
O=C(O)c1cccc(B(O)O)c1,-0.01,-0.187,-0.418,-0.26533,-0.06077
Nc1cccc(C(=O)O)c1,-0.16,-0.159,0.154,-0.22282,-0.05949
O=C(O)c1cccc(NO)c1,-0.04,-0.159,0.131,-0.23262,-0.06317
NS(=O)(=O)c1cccc(C(=O)O)c1,0.53,-0.168,-0.313,-0.28771,-0.08286
O=C(O)c1cccc(P(=O)(O)O)c1,0.36,-0.174,-0.47,-0.2853,-0.07717
O=C(O)c1cccc(P)c1,0.06,-0.173,-0.334,-0.26144,-0.06974
O=C(O)c1cccc([B-](O)(O)O)c1,-0.48,-0.214,-0.285,-0.09384,0.06543
O=C(O)c1cccc([GeH3])c1,0.0,-0.176,-0.42,-0.2738,-0.06975
[NH3+]c1cccc(C(=O)O)c1,0.86,-0.127,0.071,-0.41766,-0.2132
NNc1cccc(C(=O)O)c1,-0.02,-0.158,0.149,-0.22318,-0.06215
O=C(O)c1cccc([SiH3])c1,0.05,-0.177,-0.471,-0.27411,-0.06949
O=C(O)c1cccc(C(Br)(Br)Br)c1,0.28,-0.168,-0.122,-0.27644,-0.08498
O=C(O)c1cccc(C(F)(F)Cl)c1,0.42,-0.168,-0.149,-0.29066,-0.0828
O=C(O)c1cccc(-n2nnnc2Cl)c1,0.6,-0.161,0.121,-0.29175,-0.09082
O=C(O)c1cccc(C(=O)Cl)c1,0.51,-0.175,-0.184,-0.2969,-0.10115
O=C(O)c1cccc(N=C(Cl)Cl)c1,0.21,-0.166,0.11,-0.26155,-0.07645
O=C(O)c1cccc(C(Cl)(Cl)Cl)c1,0.4,-0.168,-0.109,-0.28532,-0.08346
O=C(O)c1cccc(OC(Cl)(Cl)Cl)c1,0.43,-0.16,0.287,-0.27303,-0.0778
O=C(O)c1cccc(C(=O)F)c1,0.55,-0.176,-0.206,-0.29726,-0.09601
O=C(O)c1ccc2c(c1)OC(F)(F)O2,0.36,-0.173,0.264,-0.26935,-0.07687
O=C(O)c1cccc(C(F)(F)F)c1,0.43,-0.169,-0.162,-0.29294,-0.08324
O=C(O)c1cccc([Hg]C(F)(F)F)c1,0.29,-0.17,-0.449,-0.27326,-0.06851
O=C(O)c1cccc([Hg]SC(F)(F)F)c1,0.39,-0.168,-0.418,-0.26543,-0.07718
O=C(O)c1cccc(/I=N/S(=O)(=O)C(F)(F)F)c1,1.3,-0.158,-0.256,-0.27625,-0.13084
O=C(O)c1cccc(/N=N/C(F)(F)F)c1,0.56,-0.177,0.058,-0.28262,-0.12146
O=C(O)c1cccc(OC(F)(F)F)c1,0.38,-0.167,0.285,-0.27408,-0.07866
O=C(O)c1cccc(S(=O)C(F)(F)F)c1,0.63,-0.167,-0.292,-0.27461,-0.08805
O=C(O)c1cccc([Se](=O)C(F)(F)F)c1,0.81,-0.167,-0.328,-0.27317,-0.08793
O=C(O)c1cccc(S(=O)(=O)C(F)(F)F)c1,0.83,-0.166,-0.345,-0.30673,-0.09708
O=C(O)c1cccc([Se](=O)(=O)C(F)(F)F)c1,1.08,-0.162,-0.358,-0.30918,0.09886
O=C(O)c1cccc(OS(=O)(=O)C(F)(F)F)c1,0.56,-0.162,0.26,-0.28935,-0.08474
O=C(O)c1cccc(SC(F)(F)F)c1,0.4,-0.171,-0.235,-0.2838,-0.08228
O=C(O)c1cccc([Se]C(F)(F)F)c1,0.44,-0.171,-0.271,-0.264,-0.08153
N#C[Hg]c1cccc(C(=O)O)c1,0.28,-0.169,-0.45,-0.27947,-0.0715
N#Cc1cccc(C(=O)O)c1,0.56,-0.169,-0.177,-0.28917,-0.08995
[C-]#[N+]c1cccc(C(=O)O)c1,0.48,-0.164,0.103,-0.28226,-0.0855
O=C=Nc1cccc(C(=O)O)c1,0.27,-0.163,0.121,-0.26084,-0.078
N#COc1cccc(C(=O)O)c1,0.67,-0.154,0.282,-0.2808,-0.08735
N#CS(=O)(=O)c1cccc(C(=O)O)c1,1.1,-0.163,-0.339,-0.31241,-0.10452
O=C(O)c1cccc(N=C=S)c1,0.48,-0.165,0.113,-0.24859,-0.08183
N#CSc1cccc(C(=O)O)c1,0.51,-0.158,-0.189,-0.26303,-0.08432
N#C[Se]c1cccc(C(=O)O)c1,0.61,-0.166,-0.249,-0.26944,-0.08685
N#CN=Nc1cccc(C(=O)O)c1,0.71,-0.17,0.056,-0.28746,-0.14156
N#C/N=[N+](/[O-])c1cccc(C(=O)O)c1,0.78,-0.164,0.085,-0.29559,-0.13801
O=C(O)c1cccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,0.72,-0.164,-0.152,-0.30706,-0.013774
[N-]=[N+]=Nc1nnnn1-c1cccc(C(=O)O)c1,0.54,-0.162,0.128,-0.27835,-0.08939
O=C([O-])c1cccc(C(=O)O)c1,-0.1,-0.208,-0.124,-0.06921,0.05065
O=C(O)c1cccc(C(Br)Br)c1,0.31,-0.17,-0.105,-0.27326,-0.08163
O=C(O)c1cccc(C(Cl)Cl)c1,0.31,-0.168,-0.088,-0.28764,-0.07908
O=C(O)c1cccc(OC(Cl)Cl)c1,0.38,-0.158,0.292,-0.26816,-0.07758
O=C(O)c1cccc(C(F)F)c1,0.29,-0.17,-0.139,-0.28584,-0.07672
O=C(O)c1cccc(OC(F)F)c1,0.31,-0.158,0.285,-0.27107,-0.07782
O=C(O)c1cccc(S(=O)C(F)F)c1,0.54,-0.167,-0.288,-0.26529,-0.08726
O=C(O)c1cccc(S(=O)(=O)C(F)F)c1,0.75,-0.168,-0.339,-0.3046,-0.09503
O=C(O)c1cccc(SC(F)F)c1,0.33,-0.17,-0.233,-0.27069,-0.08027
N=S(=O)(c1cccc(C(=O)O)c1)C(F)(F)F,0.72,-0.168,-0.316,-0.28949,-0.09001
O=C(O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,0.44,-0.158,0.111,-0.27464,-0.08149
O=C(O)c1cccc(C(I)I)c1,0.26,-0.167,-0.092,-0.25609,-0.08766
N#CNc1cccc(C(=O)O)c1,0.21,-0.15,0.151,-0.25,-0.07685
O=C(O)c1cccc(-n2cnnn2)c1,0.52,-0.159,0.133,-0.28345,-0.0904
O=C(O)c1cccc(-c2nnn[nH]2)c1,0.64,-0.169,-0.112,-0.27692,-0.08828
O=C(O)c1cccc(-n2nnnc2O)c1,0.39,-0.161,0.131,-0.27557,-0.08387
O=C(O)c1cccc(-n2nnnc2S)c1,0.45,-0.161,0.129,-0.27101,-0.08832
O=C(O)c1cccc(Nc2nnns2)c1,0.3,-0.154,0.15,-0.25184,-0.08535
O=Cc1cccc(C(=O)O)c1,0.35,-0.179,-0.18,-0.27686,-0.09336
O=C(O)c1cccc(C(=O)O)c1,0.37,-0.178,-0.178,-0.28504,-0.08177
O=C(O)c1cccc(CBr)c1,0.12,-0.171,-0.082,-0.27014,-0.07426
O=C(O)c1cccc(CCl)c1,0.11,-0.172,-0.081,-0.27616,-0.074
O=C(O)c1cccc(OCCl)c1,0.25,-0.161,0.298,-0.25776,-0.07083
O=C(O)c1cccc(CF)c1,0.12,-0.174,-0.107,-0.27999,-0.07329
O=C(O)c1cccc(OCF)c1,0.2,-0.161,0.296,-0.25853,-0.06985
O=C(O)c1cccc(SCF)c1,0.23,-0.17,-0.218,-0.25432,-0.07495
O=C(O)c1cccc(CI)c1,0.1,-0.171,-0.063,-0.26018,-0.08042
O=CNc1cccc(C(=O)O)c1,0.19,-0.157,0.144,-0.25371,-0.07889
NC(=O)c1cccc(C(=O)O)c1,0.28,-0.176,-0.146,-0.27173,-0.07671
NC(=S)c1cccc(C(=O)O)c1,0.25,-0.173,-0.119,-0.22345,-0.08369
O=C(O)c1cccc(/C=N/O)c1,0.22,-0.175,-0.112,-0.24969,-0.07771
O=C(O)c1ccc2[nH]cnc2c1,-0.15,-0.176,0.112,-0.25039,-0.06548
NC(=O)N=[N+]([O-])c1cccc(C(=O)O)c1,0.59,-0.168,0.09,-0.2833,-0.119
O=C(O)c1ccc2c(c1)OCO2,-0.16,-0.184,0.268,-0.23339,-0.05987
Cc1cccc(C(=O)O)c1,-0.07,-0.171,-0.042,-0.26084,-0.06343
C[Si](Cl)(Cl)c1cccc(C(=O)O)c1,0.31,-0.177,-0.555,-0.28513,-0.07876
C[Si](F)(F)c1cccc(C(=O)O)c1,0.29,-0.179,-0.586,-0.28318,-0.07554
C[Hg]c1cccc(C(=O)O)c1,0.43,-0.177,-0.462,-0.23642,-0.05097
O=C(O)c1cccc(NCS(=O)(=O)[O-])c1,-0.1,-0.17,0.188,-0.10264,-0.02624
NC(=O)Nc1cccc(C(=O)O)c1,-0.03,-0.16,0.137,-0.24811,-0.076
CN(c1cccc(C(=O)O)c1)[N+](=O)[O-],0.49,-0.168,0.121,-0.26786,-0.08004
NC(=S)Nc1cccc(C(=O)O)c1,0.22,-0.167,0.147,-0.22316,-0.06938
COc1cccc(C(=O)O)c1,0.12,-0.16,0.313,-0.24026,-0.06407
O=C(O)c1cccc(CO)c1,0.0,-0.174,-0.068,-0.25921,-0.06121
CS(=O)c1cccc(C(=O)O)c1,0.52,-0.169,-0.274,-0.24577,-0.07801
COSc1cccc(C(=O)O)c1,0.21,-0.166,-0.243,-0.23316,-0.07237
CS(=O)Oc1cccc(C(=O)O)c1,0.44,-0.171,0.266,-0.26703,-0.07227
COS(=O)c1cccc(C(=O)O)c1,0.5,-0.167,-0.286,-0.26228,-0.07803
CS(=O)(=O)c1cccc(C(=O)O)c1,0.6,-0.169,-0.324,-0.29643,-0.08604
CS(=O)(=O)Sc1cccc(C(=O)O)c1,0.43,-0.175,-0.243,-0.27669,-0.08927
CS(=O)(=O)Oc1cccc(C(=O)O)c1,0.39,-0.167,0.262,-0.27889,-0.0791
CSc1cccc(C(=O)O)c1,0.15,-0.163,-0.199,-0.22592,-0.06705
CSSc1cccc(C(=O)O)c1,0.22,-0.168,-0.21,-0.24099,-0.0742
C[Se]c1cccc(C(=O)O)c1,0.1,-0.175,-0.257,-0.22789,-0.07054
CNc1cccc(C(=O)O)c1,-0.21,-0.158,0.167,-0.2125,-0.05721
NCc1cccc(C(=O)O)c1,-0.03,-0.173,-0.06,-0.2489,-0.06033
CS(=O)(=O)Nc1cccc(C(=O)O)c1,0.2,-0.159,0.136,-0.25462,-0.07283
[NH3+]Cc1cccc(C(=O)O)c1,0.59,-0.146,-0.14,-0.40284,-0.20182
O=C(O)c1cccc(N(C(=O)F)C(=O)F)c1,0.58,-0.161,0.126,-0.2982,-0.08793
O=C(O)c1cccc([Hg]OC(=O)C(F)(F)F)c1,0.5,-0.165,-0.419,-0.28048,-0.08348
O=C(O)c1cccc(C(=O)C(F)(F)F)c1,0.63,-0.176,-0.177,-0.29792,-0.11036
O=C(O)c1cccc(SC(=O)C(F)(F)F)c1,0.48,-0.169,-0.241,-0.28704,-0.08732
O=C(O)c1cccc(OC(=O)C(F)(F)F)c1,0.56,-0.16,0.257,-0.2877,-0.08536
O=C(O)c1cccc(N(C(=O)F)C(F)(F)F)c1,0.5,-0.163,0.118,-0.29895,-0.0885
O=C(O)c1ccc2c(c1)C(F)(F)OC2(F)F,0.81,-0.159,-0.107,-0.31034,-0.1006
O=C(O)c1cccc(C(F)(F)C(F)(F)F)c1,0.47,-0.169,-0.148,-0.29363,-0.08356
O=C(O)c1cccc(OC(F)(F)C(F)(F)F)c1,0.48,-0.161,0.265,-0.28423,-0.08109
O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)F)c1,0.92,-0.167,-0.338,-0.3065,-0.09746
O=C(O)c1cccc(SC(F)(F)C(F)(F)F)c1,0.44,-0.17,-0.232,-0.28496,-0.08316
O=C(O)c1cccc(N(C(F)(F)F)C(F)(F)F)c1,0.4,-0.166,0.107,-0.29453,-0.0844
O=C(O)c1cccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.18,-0.156,-0.273,-0.30251,-0.10202
O=C(O)c1cccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)c1,1.23,-0.162,-0.31,-0.31685,-0.10782
O=C(O)c1cccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)c1,0.61,-0.167,0.08,-0.29979,-0.09185
O=C(O)c1cccc(P(C(F)(F)F)C(F)(F)F)c1,0.6,-0.172,-0.404,-0.29583,-0.09082
N#CP(C#N)c1cccc(C(=O)O)c1,0.82,-0.168,-0.376,-0.30378,-0.1
C#Cc1cccc(C(=O)O)c1,0.21,-0.174,-0.131,-0.25452,-0.07296
O=C(O)c1cccc(OC(F)(F)C(F)Cl)c1,0.35,-0.164,0.263,-0.28281,-0.07734
O=C(O)c1cccc(NC(=O)C(F)(F)F)c1,0.3,-0.161,0.134,-0.26419,-0.08015
O=C(O)c1cccc(/C=N/S(=O)(=O)C(F)(F)F)c1,0.76,-0.166,-0.157,-0.29695,-0.1138
O=C(O)c1cccc(OC(F)(F)C(F)F)c1,0.34,-0.161,0.279,-0.28489,-0.07912
O=C(O)c1cccc(SC(F)(F)C(F)F)c1,0.38,-0.17,0.228,-0.28176,-0.0807
O=C(O)c1cccc(-n2nnnc2SS2=NN=NN2)c1,0.63,-0.163,0.135,-0.24967,-0.1415
C#CSc1cccc(C(=O)O)c1,0.26,-0.159,-0.192,-0.23348,-0.07227
O=C(O)c1cccc(S/C=C/Cl)c1,0.31,-0.163,-0.205,-0.23385,-0.07379
O=C(O)c1cccc([Se]/C=C/Cl)c1,0.28,-0.17,-0.241,-0.22961,-0.07136
O=C(O)c1cccc(CC(F)(F)F)c1,0.12,-0.169,-0.064,-0.27809,-0.07339
O=C(O)c1cccc(CS(=O)C(F)(F)F)c1,0.25,-0.172,-0.091,-0.26578,-0.07359
O=C(O)c1cccc(CS(=O)(=O)C(F)(F)F)c1,0.29,-0.168,-0.096,-0.28571,-0.0807
O=C(O)c1cccc(CSC(F)(F)F)c1,0.12,-0.169,-0.076,-0.27342,-0.07668
N#CCc1cccc(C(=O)O)c1,0.16,-0.166,-0.044,-0.27952,-0.07601
O=C(O)c1cccc(C=C[N+](=O)[O-])c1,0.32,-0.168,-0.104,-0.27699,-0.12051
O=C([O-])Cc1cccc(C(=O)O)c1,0.07,-0.2,-0.017,-0.06613,0.04269
N#CSCc1cccc(C(=O)O)c1,0.12,-0.168,-0.086,-0.27396,-0.0828
C=Cc1cccc(C(=O)O)c1,0.06,-0.174,-0.085,-0.24453,-0.07193
O=C(CCl)Nc1cccc(C(=O)O)c1,0.17,-0.164,0.141,-0.25164,-0.07109
CN(c1cccc(C(=O)O)c1)S(=O)(=O)C(F)(F)F,0.46,-0.167,0.121,-0.27275,-0.07995
CC(=O)O[Hg]c1cccc(C(=O)O)c1,0.39,-0.167,-0.425,-0.24045,-0.07548
CC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-],0.54,-0.165,-0.116,-0.29241,-0.11184
O=C(O)c1cccc(C2CO2)c1,0.05,-0.17,-0.085,-0.26227,-0.06746
C=COc1cccc(C(=O)O)c1,0.21,-0.16,0.301,-0.24063,-0.06981
CC(=O)c1cccc(C(=O)O)c1,0.38,-0.179,-0.16,-0.26911,-0.08439
CC(=O)Sc1cccc(C(=O)O)c1,0.39,-0.171,-0.232,-0.26611,-0.08199
CC(=O)Oc1cccc(C(=O)O)c1,0.39,-0.162,0.278,-0.27422,-0.08042
COC(=O)c1cccc(C(=O)O)c1,0.37,-0.179,-0.167,-0.28165,-0.0772
O=C(O)c1cccc(C2CS2)c1,0.04,-0.171,-0.069,-0.23917,-0.07118
C=CSc1cccc(C(=O)O)c1,0.26,-0.165,-0.207,-0.22707,-0.07032
C=C[Se]c1cccc(C(=O)O)c1,0.26,-0.174,-0.263,-0.22246,-0.07349
O=C(O)c1cccc(N2CC2)c1,-0.07,-0.165,0.151,-0.22725,-0.06173
O=C(O)c1cccc(C2CN2)c1,-0.06,-0.174,-0.064,-0.25233,-0.06185
CN1OC1c1cccc(C(=O)O)c1,0.09,-0.176,-0.106,-0.26587,-0.07074
COC(=O)Nc1cccc(C(=O)O)c1,-0.02,-0.161,0.151,-0.24191,-0.06853
CC(=O)Nc1cccc(C(=O)O)c1,0.21,-0.161,0.143,-0.24971,-0.07656
CNC(=O)c1cccc(C(=O)O)c1,0.35,-0.173,-0.138,-0.2633,-0.07386
